name	Chromosome	position	Dominant.Allele	Dominant.Allele.Value	Recessive.Allele	Recessive.Allele.Value	Mode	Dominant.Freq.Pop1	Dominant.Freq.Pop2
chr1_17069132	1	17069132	A	0.997937981542281	a	1.02056958988289	Additive	0.903491692773915	0.0947467744346258
chr1_17069133	1	17069133	A	0.981216370171942	a	0.999222573698035	Additive	0.879233222922936	0.0951049584486658
chr2_19074587	2	19074587	A	1.02505225841782	a	0.989483793124126	Additive	0.877936523077348	0.107420811485752
chr2_19074588	2	19074588	A	0.970884900201199	a	0.982743584348858	Additive	0.918345951144511	0.100387708882354
chr3_17489053	3	17489053	A	0.953608262887193	a	0.988574323748011	Additive	0.907919022386505	0.0928236722503828
chr3_17489054	3	17489054	A	1.00015741959605	a	0.997027381435438	Additive	0.896211503619643	0.106168696280709
chr4_4514598	4	4514598	A	0.986643735811513	a	0.999715607293043	Additive	0.896606920487742	0.0734415788114767
chr4_4514599	4	4514599	A	1.00570117971903	a	0.982217628504057	Additive	0.899451676450977	0.102420329152319
chr5_8326	5	8326	A	1.00591039071276	a	1.01242753259811	Additive	0.898799615926999	0.0808031901402999
chr5_8327	5	8327	A	1.02849987143677	a	1.00126453117506	Additive	0.899551175806111	0.0985728361124013
chr6_18714992	6	18714992	A	1.03153661392473	a	1.00908509105137	Additive	0.905317004651662	0.0901206099708438
chr6_18714993	6	18714993	A	0.997764489683603	a	1.02238953547729	Additive	0.890355648220378	0.0936608006066147
chr7_3461474	7	3461474	A	1.0355528738194	a	1.00493257619487	Additive	0.901373872187395	0.0858715047360229
chr7_3461475	7	3461475	A	1.01219451375253	a	1.00291757794295	Additive	0.895702474746812	0.0856773523773537
chr8_20307630	8	20307630	A	1.00749739991852	a	1.02487344391932	Additive	0.910303247403981	0.0863659519126401
chr8_20307631	8	20307631	A	0.998150333103861	a	0.986696398134345	Additive	0.88852645642169	0.110162832468787
chr9_21993620	9	21993620	A	1.00890351538732	a	0.979151651449392	Additive	0.897280571215263	0.099426767654323
chr9_21993621	9	21993621	A	0.993916557665035	a	0.983320698091028	Additive	0.898464196981987	0.0966271101295542
chr10_22707029	10	22707029	A	1.00817602587153	a	1.00418109095153	Additive	0.907634797759994	0.082887967625023
chr10_22707030	10	22707030	A	1.00442619219386	a	1.01281315203437	Additive	0.901545531814281	0.0987292015442621
chr10_25000000	10	25000000	S	1	s	0	Hemizygous	0.5	0.5
