name	Chromosome	position	Dominant.Allele	Dominant.Allele.Value	Recessive.Allele	Recessive.Allele.Value	Mode	Dominant.Freq.Pop1	Dominant.Freq.Pop2
chr1_17069132	1	17069132	A	1	a	253	Additive	0.903491692773915	0.0947467744346258
chr1_17069133	1	17069133	A	2	a	38	Additive	0.879233222922936	0.0951049584486658
chr2_19074587	2	19074587	A	0	a	151	Additive	0.877936523077348	0.107420811485752
chr2_19074588	2	19074588	A	2	a	284	Additive	0.918345951144511	0.100387708882354
chr3_17489053	3	17489053	A	2	a	138	Additive	0.907919022386505	0.0928236722503828
chr3_17489054	3	17489054	A	4	a	111	Additive	0.896211503619643	0.106168696280709
chr4_4514598	4	4514598	A	4	a	62	Additive	0.896606920487742	0.0734415788114767
chr4_4514599	4	4514599	A	2	a	48	Additive	0.899451676450977	0.102420329152319
chr5_8326	5	8326	A	1	a	229	Additive	0.898799615926999	0.0808031901402999
chr5_8327	5	8327	A	1	a	73	Additive	0.899551175806111	0.0985728361124013
chr6_18714992	6	18714992	A	6	a	30	Additive	0.905317004651662	0.0901206099708438
chr6_18714993	6	18714993	A	0	a	127	Additive	0.890355648220378	0.0936608006066147
chr7_3461474	7	3461474	A	0	a	64	Additive	0.901373872187395	0.0858715047360229
chr7_3461475	7	3461475	A	0	a	140	Additive	0.895702474746812	0.0856773523773537
chr8_20307630	8	20307630	A	3	a	5	Additive	0.910303247403981	0.0863659519126401
chr8_20307631	8	20307631	A	0	a	160	Additive	0.88852645642169	0.110162832468787
chr9_21993620	9	21993620	A	0	a	14	Additive	0.897280571215263	0.099426767654323
chr9_21993621	9	21993621	A	0	a	70	Additive	0.898464196981987	0.0966271101295542
chr10_22707029	10	22707029	A	1	a	5	Additive	0.907634797759994	0.082887967625023
chr10_22707030	10	22707030	A	2	a	130	Additive	0.901545531814281	0.0987292015442621
chr10_25000000	10	25000000	S	1	s	0	Hemizygous	0.5	0.5
