ScyDAA6-1196-HRSCAF-1406	15080	15298
ScyDAA6-1196-HRSCAF-1406	17776	17890
ScyDAA6-1196-HRSCAF-1406	18697	18894
ScyDAA6-1196-HRSCAF-1406	21284	21470
ScyDAA6-1196-HRSCAF-1406	24120	24286
ScyDAA6-1196-HRSCAF-1406	25684	25742
ScyDAA6-1196-HRSCAF-1406	27477	27537
ScyDAA6-1196-HRSCAF-1406	28091	28294
ScyDAA6-1196-HRSCAF-1406	28682	28821
ScyDAA6-1196-HRSCAF-1406	28896	29004
ScyDAA6-1196-HRSCAF-1406	29075	29319
ScyDAA6-1196-HRSCAF-1406	31990	31996
ScyDAA6-1196-HRSCAF-1406	32920	32939
ScyDAA6-1196-HRSCAF-1406	33061	33138
ScyDAA6-1196-HRSCAF-1406	34734	34880
ScyDAA6-1196-HRSCAF-1406	35009	35137
ScyDAA6-1196-HRSCAF-1406	35218	35411
ScyDAA6-1196-HRSCAF-1406	40049	40070
ScyDAA6-1196-HRSCAF-1406	40592	40695
ScyDAA6-1196-HRSCAF-1406	45334	45480
ScyDAA6-1196-HRSCAF-1406	45604	47047
ScyDAA6-1196-HRSCAF-1406	51959	52013
ScyDAA6-1196-HRSCAF-1406	52672	52784
ScyDAA6-1196-HRSCAF-1406	52856	52970
ScyDAA6-1196-HRSCAF-1406	55191	55330
ScyDAA6-1196-HRSCAF-1406	55595	55690
ScyDAA6-1196-HRSCAF-1406	55934	56007
ScyDAA6-1196-HRSCAF-1406	56677	56786
ScyDAA6-1196-HRSCAF-1406	57162	57221
ScyDAA6-1196-HRSCAF-1406	57306	57351
ScyDAA6-1196-HRSCAF-1406	58681	58793
ScyDAA6-1196-HRSCAF-1406	58909	58985
ScyDAA6-1196-HRSCAF-1406	59229	59370
ScyDAA6-1196-HRSCAF-1406	59920	60053
ScyDAA6-1196-HRSCAF-1406	60199	60309
ScyDAA6-1196-HRSCAF-1406	61004	61099
ScyDAA6-1196-HRSCAF-1406	61180	61239
ScyDAA6-1196-HRSCAF-1406	64274	64356
ScyDAA6-1196-HRSCAF-1406	65740	65800
ScyDAA6-1196-HRSCAF-1406	65876	65925
ScyDAA6-1196-HRSCAF-1406	66029	66099
ScyDAA6-1196-HRSCAF-1406	66367	66456
ScyDAA6-1196-HRSCAF-1406	66535	66647
